Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,,
2016-17,NBA,Atlanta Hawks,43,39,0.524,2,-1.23,97.4,1,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),D. Howard (8.3),,
2015-16,NBA,Atlanta Hawks,48,34,0.585,2,3.49,97.1,1.3,105.1,-1.3,101.4,-5,Lost E. Conf. Semis,M. Budenholzer (48-34),P. Millsap (10.1),,
2014-15,NBA,Atlanta Hawks,60,22,0.732,1,4.75,93.9,0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer (60-22),A. Horford (8.7),,
2013-14,NBA,Atlanta Hawks,38,44,0.463,4,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer (38-44),P. Millsap (6.7),,
2012-13,NBA,Atlanta Hawks,44,38,0.537,2,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew (44-38),A. Horford (8.8),,
2011-12,NBA,Atlanta Hawks,40,26,0.606,2,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew (40-26),J. Smith (6.8),,
2010-11,NBA,Atlanta Hawks,44,38,0.537,3,-1.1,89.3,-2.8,106.1,-1.2,107,-0.3,Lost E. Conf. Semis,L. Drew (44-38),A. Horford (10.1),,
2009-10,NBA,Atlanta Hawks,53,29,0.646,2,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson (53-29),A. Horford (10.9),,
2008-09,NBA,Atlanta Hawks,47,35,0.573,2,1.7,89.6,-2.1,109.3,1,107.6,-0.7,Lost E. Conf. Semis,M. Woodson (47-35),J. Johnson (7.6),,
2007-08,NBA,Atlanta Hawks,37,45,0.451,3,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),J. Childress (7.6),,
