Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS,
2016-17,NBA,Washington Wizards,49,33,.598,1,1.36,97.4,1.0,111.2,2.4,109.3,0.5,Lost E. Conf. Semis,S. Brooks (49-33),O. Porter (9.4),
2015-16,NBA,Washington Wizards,41,41,.500,4,-0.50,98.5,2.7,105.3,-1.1,105.8,-0.6,,R. Wittman (41-41),M. Gortat (7.3),
2014-15,NBA,Washington Wizards,46,36,.561,2,0.17,93.7,-0.2,103.7,-1.9,103.0,-2.6,Lost E. Conf. Semis,R. Wittman (46-36),M. Gortat (8.6),
2013-14,NBA,Washington Wizards,44,38,.537,2,0.48,93.2,-0.7,106.0,-0.7,104.6,-2.1,Lost E. Conf. Semis,R. Wittman (44-38),M. Gortat (8.1),
2012-13,NBA,Washington Wizards,29,53,.354,3,-2.78,92.2,0.2,100.2,-5.7,103.0,-2.9,,R. Wittman (29-53),M. Webster (6.3),
2011-12,NBA,Washington Wizards,20,46,.303,4,-5.14,92.5,1.2,101.0,-3.6,106.2,1.6,,F. Saunders (2-15), R. Wittman (18-31),J. Wall (3.5),
2010-11,NBA,Washington Wizards,23,59,.280,5,-7.30,93.8,1.7,102.4,-4.9,110.2,2.9,,F. Saunders (23-59),J. McGee (5.3),
2009-10,NBA,Washington Wizards,26,56,.317,5,-4.72,91.6,-1.1,104.2,-3.4,109.4,1.8,,F. Saunders (26-56),B. Haywood (4.5),
2008-09,NBA,Washington Wizards,19,63,.232,5,-6.98,91.0,-0.7,105.4,-2.9,113.6,5.3,,E. Jordan (1-10), E. Tapscott (18-53),A. Jamison (8.1),
2007-08,NBA,Washington Wizards,43,39,.524,2,-0.61,89.5,-2.9,109.2,1.7,109.6,2.1,Lost E. Conf. 1st Rnd.,E. Jordan (43-39),A. Jamison (9.2),
