Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,
Atlanta Hawks,NBA,1950,2018,69,5453,2713,2740,.498,46,11,0,1,
Boston Celtics,NBA/BAA,1947,2018,72,5625,3319,2306,.590,54,31,9,17,
Brooklyn Nets,NBA/ABA,1968,2018,51,4123,1774,2349,.430,26,5,2,2,
Charlotte Hornets,NBA,1989,2018,28,2231,980,1251,.439,10,0,0,0,
Chicago Bulls,NBA,1967,2018,52,4196,2177,2019,.519,35,9,6,6,
Cleveland Cavaliers,NBA,1971,2018,48,3869,1816,2053,.469,21,6,4,1,
Dallas Mavericks,NBA,1981,2018,38,3051,1535,1516,.503,21,3,2,1,
Denver Nuggets,NBA/ABA,1968,2018,51,4122,2051,2071,.498,33,10,0,0,
Detroit Pistons,NBA/BAA,1949,2018,70,5514,2682,2832,.486,41,11,5,3,
Golden State Warriors,NBA/BAA,1947,2018,72,5620,2707,2913,.482,33,10,4,5,
Houston Rockets,NBA,1968,2018,51,4115,2157,1958,.524,31,5,4,2,
Indiana Pacers,NBA/ABA,1968,2018,51,4121,2112,2009,.512,33,9,1,3,
Los Angeles Clippers,NBA,1971,2018,48,3869,1554,2315,.402,13,2,0,0,
Los Angeles Lakers,NBA/BAA,1949,2018,70,5514,3289,2225,.596,60,32,18,16,
Memphis Grizzlies,NBA,1996,2018,23,1819,755,1064,.415,10,0,0,0,
Miami Heat,NBA,1989,2018,30,2395,1245,1150,.520,19,12,5,3,
Milwaukee Bucks,NBA,1969,2018,50,4034,2059,1975,.510,29,13,2,1,
Minnesota Timberwolves,NBA,1990,2018,29,2314,916,1398,.396,8,1,0,0,
New Orleans Pelicans,NBA,2003,2018,16,1277,599,678,.469,6,1,0,0,
New York Knicks,NBA/BAA,1947,2018,72,5622,2756,2866,.490,42,8,4,2,
Oklahoma City Thunder,NBA,1968,2018,51,4118,2223,1895,.540,29,11,4,1,
Orlando Magic,NBA,1990,2018,29,2312,1111,1201,.481,14,5,2,0,
Philadelphia 76ers,NBA,1950,2018,69,5449,2789,2660,.512,47,11,5,3,
Phoenix Suns,NBA,1969,2018,50,4036,2165,1871,.536,29,6,2,0,
Portland Trail Blazers,NBA,1971,2018,48,3871,2071,1800,.535,33,5,3,1,
Sacramento Kings,NBA/BAA,1949,2018,70,5515,2516,2999,.456,29,5,0,1,
San Antonio Spurs,NBA/ABA,1968,2018,51,4122,2482,1640,.602,45,22,6,5,
Toronto Raptors,NBA,1996,2018,23,1819,831,988,.457,9,4,0,0,
Utah Jazz,NBA,1975,2018,44,3542,1900,1642,.536,26,9,2,0,
Washington Wizards,NBA,1962,2018,57,4598,2090,2508,.455,28,8,4,1,
